BB_120A_81
Integration time [ms]: 500,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 3
Data measured with spectrometer [name]: 7516255SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

177,229;  783,317;  246,500;    0,000
177,829;  799,982;  244,100;    0,000
178,430;  798,683;  247,950;    0,000
179,030;  796,594;  248,171;    0,000
179,630;  796,635;  250,214;    0,000
180,230;  772,936;  247,000;    0,000
180,830;  789,605;  250,743;    0,000
181,430;  807,890;  247,329;    0,000
182,030;  772,119;  252,600;    0,000
182,630;  743,776;  250,629;    0,000
183,230;  738,765;  255,686;    0,000
183,830;  726,034;  255,229;    0,000
184,430;  730,515;  260,300;    0,000
185,030;  721,818;  261,701;    0,000
185,630;  704,370;  264,017;    0,000
186,229;  698,639;  262,761;    0,000
186,829;  744,000;  264,219;    0,000
187,429;  734,919;  258,963;    0,000
188,029;  707,831;  261,151;    0,000
188,628;  689,674;  259,952;    0,000
189,228;  689,946;  260,352;    0,000
189,828;  677,691;  260,896;    0,000
190,428;  690,634;  262,440;    0,000
191,027;  649,773;  262,598;    0,000
191,627;  690,466;  263,755;    0,000
192,227;  702,162;  260,655;    0,000
192,826;  738,344;  259,584;    0,000
193,426;  722,869;  256,684;    0,000
194,025;  738,981;  258,468;    0,000
194,625;  754,796;  255,010;    0,000
195,224;  774,891;  251,038;    0,000
195,824;  722,267;  247,551;    0,000
196,423;  712,098;  249,451;    0,000
197,023;  681,550;  241,551;    0,000
197,622;  682,843;  246,593;    0,000
198,221;  662,362;  241,736;    0,000
198,821;  643,567;  240,136;    0,000
199,420;  660,616;  238,835;    0,000
200,019;  657,175;  236,607;    0,000
200,619;  673,804;  236,978;    0,000
201,218;  650,892;  240,392;    0,000
201,817;  650,536;  233,250;    0,000
202,416;  644,639;  238,907;    0,000
203,016;  688,426;  238,549;    0,000
203,615;  635,698;  241,292;    0,000
204,214;  644,684;  242,307;    0,000
204,813;  633,127;  244,378;    0,000
205,412;  674,258;  244,535;    0,000
206,011;  686,028;  246,164;    0,000
206,610;  673,214;  237,335;    0,000
207,209;  629,369;  234,564;    0,000
207,808;  637,110;  235,521;    0,000
208,407;  613,583;  237,135;    0,000
209,006;  607,824;  231,149;    0,000
