BB_148A
Integration time [ms]:  20,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 3
Data measured with spectrometer [name]: 7516255SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

177,229;  262,218;  246,500;    0,000
177,829;  260,039;  244,100;    0,000
178,430;  263,723;  247,950;    0,000
179,030;  264,280;  248,171;    0,000
179,630;  266,626;  250,214;    0,000
180,230;  264,020;  247,000;    0,000
180,830;  267,515;  250,743;    0,000
181,430;  263,040;  247,329;    0,000
182,030;  266,301;  252,600;    0,000
182,630;  261,595;  250,629;    0,000
183,230;  265,675;  255,686;    0,000
183,830;  263,520;  255,229;    0,000
184,430;  266,684;  260,300;    0,000
185,030;  267,632;  261,701;    0,000
185,630;  272,065;  264,017;    0,000
186,229;  271,025;  262,761;    0,000
186,829;  275,103;  264,219;    0,000
187,429;  268,723;  258,963;    0,000
188,029;  269,894;  261,151;    0,000
188,628;  269,437;  259,952;    0,000
189,228;  268,656;  260,352;    0,000
189,828;  266,256;  260,896;    0,000
190,428;  265,628;  262,440;    0,000
191,027;  263,668;  262,598;    0,000
191,627;  266,019;  263,755;    0,000
192,227;  263,621;  260,655;    0,000
192,826;  264,824;  259,584;    0,000
193,426;  262,454;  256,684;    0,000
194,025;  264,672;  258,468;    0,000
194,625;  263,190;  255,010;    0,000
195,224;  261,915;  251,038;    0,000
195,824;  257,716;  247,551;    0,000
196,423;  259,617;  249,451;    0,000
197,023;  249,341;  241,551;    0,000
197,622;  253,634;  246,593;    0,000
198,221;  247,513;  241,736;    0,000
198,821;  246,072;  240,136;    0,000
199,420;  244,945;  238,835;    0,000
200,019;  242,556;  236,607;    0,000
200,619;  243,435;  236,978;    0,000
201,218;  247,019;  240,392;    0,000
201,817;  242,044;  233,250;    0,000
202,416;  250,863;  238,907;    0,000
203,016;  252,231;  238,549;    0,000
203,615;  250,288;  241,292;    0,000
204,214;  250,490;  242,307;    0,000
204,813;  250,110;  244,378;    0,000
205,412;  252,157;  244,535;    0,000
206,011;  250,032;  246,164;    0,000
206,610;  241,471;  237,335;    0,000
207,209;  238,746;  234,564;    0,000
207,808;  243,502;  235,521;    0,000
208,407;  244,942;  237,135;    0,000
209,006;  241,718;  231,149;    0,000
