BB_203A_13
Integration time [ms]:   5,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 3
Data measured with spectrometer [name]: 7516255SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

177,229;  244,617;  246,500;    0,000
177,829;  243,111;  244,100;    0,000
178,430;  247,578;  247,950;    0,000
179,030;  246,308;  248,171;    0,000
179,630;  247,662;  250,214;    0,000
180,230;  245,059;  247,000;    0,000
180,830;  250,899;  250,743;    0,000
181,430;  248,191;  247,329;    0,000
182,030;  253,720;  252,600;    0,000
182,630;  250,081;  250,629;    0,000
183,230;  254,322;  255,686;    0,000
183,830;  253,161;  255,229;    0,000
184,430;  258,946;  260,300;    0,000
185,030;  259,903;  261,701;    0,000
185,630;  261,239;  264,017;    0,000
186,229;  259,063;  262,761;    0,000
186,829;  260,630;  264,219;    0,000
187,429;  256,843;  258,963;    0,000
188,029;  256,795;  261,151;    0,000
188,628;  255,784;  259,952;    0,000
189,228;  255,685;  260,352;    0,000
189,828;  254,281;  260,896;    0,000
190,428;  255,268;  262,440;    0,000
191,027;  255,129;  262,598;    0,000
191,627;  257,127;  263,755;    0,000
192,227;  255,167;  260,655;    0,000
192,826;  254,877;  259,584;    0,000
193,426;  250,065;  256,684;    0,000
194,025;  254,286;  258,468;    0,000
194,625;  250,280;  255,010;    0,000
195,224;  247,104;  251,038;    0,000
195,824;  241,992;  247,551;    0,000
196,423;  243,894;  249,451;    0,000
197,023;  234,488;  241,551;    0,000
197,622;  240,042;  246,593;    0,000
198,221;  233,033;  241,736;    0,000
198,821;  232,142;  240,136;    0,000
199,420;  231,563;  238,835;    0,000
200,019;  229,421;  236,607;    0,000
200,619;  230,244;  236,978;    0,000
201,218;  233,850;  240,392;    0,000
201,817;  227,877;  233,250;    0,000
202,416;  235,659;  238,907;    0,000
203,016;  234,947;  238,549;    0,000
203,615;  235,254;  241,292;    0,000
204,214;  236,620;  242,307;    0,000
204,813;  238,702;  244,378;    0,000
205,412;  239,702;  244,535;    0,000
206,011;  240,374;  246,164;    0,000
206,610;  230,544;  237,335;    0,000
207,209;  228,659;  234,564;    0,000
207,808;  231,991;  235,521;    0,000
208,407;  230,392;  237,135;    0,000
209,006;  223,642;  231,149;    0,000
