
Integration time [ms]:   0,050
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 3
Data measured with spectrometer [name]: 7516255SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

177,000;  16,040;    0,000;    0,000
177,600;  16,549;    0,000;    0,000
178,200;  17,070;    0,000;    0,000
178,800;  17,603;    0,000;    0,000
179,400;  18,147;    0,000;    0,000
180,000;  18,704;    0,000;    0,000
180,600;  19,272;    0,000;    0,000
181,200;  19,853;    0,000;    0,000
181,800;  20,446;    0,000;    0,000
182,400;  21,052;    0,000;    0,000
183,000;  21,671;    0,000;    0,000
183,600;  22,302;    0,000;    0,000
184,200;  22,946;    0,000;    0,000
184,800;  23,603;    0,000;    0,000
185,400;  24,273;    0,000;    0,000
186,000;  24,956;    0,000;    0,000
186,600;  25,653;    0,000;    0,000
187,200;  26,363;    0,000;    0,000
187,800;  27,087;    0,000;    0,000
188,400;  27,824;    0,000;    0,000
189,000;  28,575;    0,000;    0,000
189,600;  29,340;    0,000;    0,000
190,200;  30,119;    0,000;    0,000
190,800;  30,912;    0,000;    0,000
191,400;  31,719;    0,000;    0,000
192,000;  32,540;    0,000;    0,000
192,600;  33,376;    0,000;    0,000
193,200;  34,226;    0,000;    0,000
193,800;  35,090;    0,000;    0,000
194,400;  35,969;    0,000;    0,000
195,000;  36,863;    0,000;    0,000
195,600;  37,771;    0,000;    0,000
196,200;  38,695;    0,000;    0,000
196,800;  39,633;    0,000;    0,000
197,400;  40,586;    0,000;    0,000
198,000;  41,554;    0,000;    0,000
198,600;  42,537;    0,000;    0,000
199,200;  43,536;    0,000;    0,000
199,800;  44,549;    0,000;    0,000
200,400;  45,578;    0,000;    0,000
201,000;  46,623;    0,000;    0,000
201,600;  47,682;    0,000;    0,000
202,200;  48,757;    0,000;    0,000
202,800;  49,848;    0,000;    0,000
203,400;  50,954;    0,000;    0,000
204,000;  52,075;    0,000;    0,000
204,600;  53,212;    0,000;    0,000
205,200;  54,365;    0,000;    0,000
205,800;  55,533;    0,000;    0,000
206,400;  56,718;    0,000;    0,000
207,000;  57,917;    0,000;    0,000
207,600;  59,133;    0,000;    0,000
208,200;  60,364;    0,000;    0,000
208,800;  61,612;    0,000;    0,000
