
Integration time [ms]:   0,050
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 3
Data measured with spectrometer [name]: 7516255SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

177,000;  19,044;    0,000;    0,000
177,600;  12,669;    0,000;    0,000
178,200;  18,090;    0,000;    0,000
178,800;  21,735;    0,000;    0,000
179,400;  13,974;    0,000;    0,000
180,000;  15,502;    0,000;    0,000
180,600;  17,977;    0,000;    0,000
181,200;  20,752;    0,000;    0,000
181,800;  17,281;    0,000;    0,000
182,400;  19,826;    0,000;    0,000
183,000;  16,962;    0,000;    0,000
183,600;  23,787;    0,000;    0,000
184,200;  24,598;    0,000;    0,000
184,800;  20,886;    0,000;    0,000
185,400;  27,667;    0,000;    0,000
186,000;  18,305;    0,000;    0,000
186,600;  22,185;    0,000;    0,000
187,200;  23,146;    0,000;    0,000
187,800;  28,160;    0,000;    0,000
188,400;  37,195;    0,000;    0,000
189,000;  29,880;    0,000;    0,000
189,600;  20,372;    0,000;    0,000
190,200;  16,978;    0,000;    0,000
190,800;  28,348;    0,000;    0,000
191,400;  37,975;    0,000;    0,000
192,000;  29,832;    0,000;    0,000
192,600;  26,624;    0,000;    0,000
193,200;  38,968;    0,000;    0,000
193,800;  39,501;    0,000;    0,000
194,400;  40,802;    0,000;    0,000
195,000;  33,058;    0,000;    0,000
195,600;  45,476;    0,000;    0,000
196,200;  35,907;    0,000;    0,000
196,800;  35,837;    0,000;    0,000
197,400;  44,852;    0,000;    0,000
198,000;  50,813;    0,000;    0,000
198,600;  34,215;    0,000;    0,000
199,200;  50,062;    0,000;    0,000
199,800;  51,483;    0,000;    0,000
200,400;  45,891;    0,000;    0,000
201,000;  43,207;    0,000;    0,000
201,600;  57,915;    0,000;    0,000
202,200;  48,080;    0,000;    0,000
202,800;  43,127;    0,000;    0,000
203,400;  46,166;    0,000;    0,000
204,000;  64,143;    0,000;    0,000
204,600;  55,530;    0,000;    0,000
205,200;  61,317;    0,000;    0,000
205,800;  65,494;    0,000;    0,000
206,400;  52,541;    0,000;    0,000
207,000;  50,524;    0,000;    0,000
207,600;  57,739;    0,000;    0,000
208,200;  49,000;    0,000;    0,000
208,800;  78,204;    0,000;    0,000
